hex,name,pinyin,desc
#665A59,深烟,shenyan,暗红的灰色
#564B4B,烟栗色,yanlise,暗红的灰色
#C7C2AF,米灰,mihui,浅黄的灰色
#EFECE5,蛤粉,gefen,由风化的贝壳制成的颜料。淡黄的白色
#F0EFE8,立徳粉,lidefen,浅黄的白色
#B5C9B7,淡灰绿,danhuilv,浅绿的灰色
#B1C6AE,龙泉青瓷釉色,longquanqingciyouse,浙江省龙泉窑所制的青瓷的浅绿的灰色
#CAD3B2,春绿,chunlv,清朝正白旗所配盔甲的绿白色
#B9CBB0,锈绿,xiulv,如青铜器淡迹铜绿的浅绿的灰色
#BEC8BB,铅灰色,qianhuise,浅绿的灰色
#BABA96,虾灰,xiahui,像白皮松躯干的浅灰的黄绿色
#A2B1A4,大理石色,dalishise,大理石内的浅绿的灰色
#949983,法国梧桐皮色,faguowutongpise,法桐树皮一般的黄绿的灰色
#838C82,中条虾绿,zhongtiaoxialv,山西省中条山所产矿物的浅绿的灰色
#C3CAB5,松绿色,songlvse,浅绿的灰色
#6D7B7A,暗灰,anhui,北京古院青砖的锈迹的浅青的灰色
#7B8F8A,青虾色,qingxiase,像虾壳的浅绿的灰色
#869B8A,橄榄灰,ganlanhui,橄榄树皮一般的浅绿的灰色
#666550,焦茶色,jiaochase,青海苔枯萎后的暗绿的灰色
#626855,茶绿,chalv,茶一般的暗绿的灰色
#66684D,鉄绿,tielv,如锦织缎子底色的暗灰的黄绿色
#516054,油绿,youlv,观赏用竹的暗绿的灰色
#285763,毛绿,maolv,暗青绿色
#546263,深灰,shenhui,蓝马鸡背羽一般的有光泽的暗青灰色
#556473,鹊灰,quehui,如山鹊羽毛一般或像湖北省产的一种矿物的暗灰的蓝色
#66727A,深瓦灰,shenwahui,北京古院瓷砖的暗青的灰色
#627166,苔灰,taihui,暗绿的灰色
#6F837F,冬灰色,donghuise,浙江省龙泉窑所制的青瓷的浅青的灰色
#929C93,水貂灰,shuidiaohui,水貂毛的灰色
#3C3D3D,灯草灰,dengcaohui,黒色
#464545,元青,yuanqing,暗灰色
#4B4B50,粗晶皀,cujingbi,暗灰色
#5E5F62,红皀,hongbi,暗灰色
#464D58,鉄青,tieqing,暗青的灰色
#4E575C,鉄灰,tiehui,暗青的灰色
#626567,青灰色,qinghuise,暗灰色
#5F6160,承徳皀,chengdebi,暗灰色
#747470,承徳灰,chengdehui,灰色
#868171,庭院瓦灰色,tingyuanwahuise,老旧花园瓦片的黄灰色
#6B655D,相思灰,xiangsihui,相思鸟的羽毛般的带黄色的暗灰茶色
#81858E,银鼠灰,yinshuhui,青灰色
#98A5AB,正灰,zhenghui,明青的灰色
#879897,织绵灰,zhimianhui,青灰色
#708089,石板灰,shibanhui,天然石材的灰青色
#5B5A74,罗蓝灰,luolanhui,有阴影的暗灰的青色
#373737,百草霜,baicaoshuang,黒色
#494846,油烟墨,youyanmo,暗灰色
#A2A091,银箔,yinbo,暗灰色
#8A8D92,红灰,honghui,青灰色
#B4BBAB,黄灰,huanghui,明绿的灰色
