name,oriname,angle,hex
春天的温暖,"spring warmth",⭡,"#fad0c4,#ffd1ff"
鲜莓牛奶,"fresh strawberry milk",⭡,"#feada5,#f5efef"
温暖火焰,"warm flame",⭧,"#ff9a9e,#fad0c4"
优雅时光,"elegance time",⭣,"#e8dede,#efa5c3"
娇羞红晕,"shy blush",⭦,"#ddd6f3,#faaca8"
天使的守护,"angel's guardian",⭨,"#FAD68F,#FF8AB2,#FF4DD4"
晴朗的早晨,"sunny morning",⭢,"#f6d365,#fda085"
泛黄的记忆,"old memory",⊚,"#f5b29d,#fdead0"
幼嫩肌肤,"young skin",⭡,"#f794a4,#fdd6bd"
全新空间,"new space",⭨,"#f8c294,#ea688d"
粉色花瓣,"pink petals",⭢,"#ee9ca7,#ffdde1"
淑女樱唇,"lady lips",⭡,"#ff9a9e,#fecfef"
绝美日落,"wonderful sunset",⭢,"#fa709a,#fee140"
阳光满照,"light and sunshine",⭡,"#fc6076,#ff9a44"
桃花烂漫,"peach blossoms bloom",⭢,"#ff758c,#ff7eb3"
日落霞光,"sunset glow",⭡,"#e14fad,#f9d423"
艳丽花朵,"showy flower",⭣,"#FF5C8F,#FC7099,#FF6994,#C2368F,#9A0D7C"
诱人水蜜桃,"juicy peach",⭠,"#fcb69f,#ffecd2"
幸福满满,"full of happiness",⭢,"#FA69C9,#FC4FBD,#FF61AD,#FF789E"
温柔的关怀,"gentle care",⭢,"#f7be9d,#f3a9b6"
快乐回忆,"happy memories",⭠,"#ff5858,#f09819"
蜜糖轻焦,"light brown colou",⭡,"#e6b980,#eacda3"
浩瀚沙洲,"vast sand bar",⭡,"#c79081,#dfa579"
涅磐重生,"pan nirvana rebirth",⭢,"#f83600,#f9d423"
爱之吻,"love kiss",⭡,"#ff0844,#ffb199"
饱满蜜桃,"colorful peach",⭢,"#ed6ea0,#ec8c69"
朝气蓬勃,"full of youthful spirit",⭢,"#f9d423,#ff4e50"
山竹清香,"big mangosteen",⭡,"#c71d6f,#d09693"
陷入爱恋,"fall in love",⭡,"#f77062,#fe5196"
冷冻浆果,"frozen berry",⭡,"#e8198b,#c7eafd"
缤纷糖果,"mellow candy",⭢,"#f093fb,#f5576c"
夕照轻雾,"cloud pink",⭡,"#f3e7e9,#e3eeff"
湖泊深处,"lake bottom",⭡,"#ebc0fd,#d9ded8"
恒久长空,"everlasting sky",⭦,"#fdfcfb,#e2d1c3"
冻结梦境,"frozen dreams",⭡,"#fbc2eb,#a6c1ee"
紫色风铃,"purple wind chimes",⭡,"#bdc2e8,#e6dee9"
清丽笑颜,"beautiful smile",⭨,"#e3fdf5,#ffe6fa"
等待爱情,"waiting for love",⭡,"#ebbba7,#cfc7f8"
香槟奇遇,"champagne adventure",⭦,"#e9defa,#fbfcdb"
雨林景观,"rainforest landscape",⭦,"#78FFA6,#DEBFFF,#3D4FFF"
玲珑紫晶,"exquisite amethyst",⭡,"#d299c2,#fef9d7"
梦幻清幽,"dreamy and quiet",⭨,"#a6c0fe,#f68084"
淡淡忧思,"a touch of longing",⭡,"#a18cd1,#fbc2eb"
多雨季节,"rainy season",⭡,"#fbc2eb,#a6c1ee"
淡紫云雾,"light purple clou",⭡,"#dad4ec,#f3e7e9"
紫霞朦胧,"hazy purple clouds",⭨,"#fccb90,#d57eeb"
湖光夕照,"sunset lake light",⭧,"#93a5cf,#e4efe9"
浪漫紫花,"romantic purple flower",⭡,"#cd9cf2,#f6f3ff"
不眠之夜,"sleepless night",⭨,"#4070FF,#9999FF,#C494FF"
森林霞光,"forest glow",⭡,"#df89b5,#bfd9fe"
迷人月色,"charming moonlight",⭡,"#5ee7df,#b490ca"
梦幻湖泊,"magic lake",⭡,"#f3a9b6,#c6e1b4"
清爽微风,"refreshing breeze",⭡,"#a8edea,#fed6e3"
青涩的梦,"dream of youth",⭡,"#9795f0,#fbc8d4"
清风优雅,"elegant breeze",⭡,"#a7a6cb,#8989ba"
天国之桃,"heaven peach",⭡,"#d9afd9,#97d9e1"
紫色光晕,"purple halo",⊚,"#bbbbdd,#6c68ae"
海的色调,"sea tones",⭨,"#5CFFB5,#B8BDFF,#FF9CDE"
明镜如洗,"clean mirror",⭧,"#93a5cf,#e4efe9"
流光溢彩,"ambilight",⭣,"#fff1eb,#ace0f9"
冬季河流,"winter river",⭨,"#a1c4fd,#c2e9fb"
淡泊名利,"indifferent to fame",⭡,"#accbee,#e7f0fd"
暗淡之美,"bleak beauty",⭡,"#6a85b6,#bac8e0"
低调清幽,"low-key and quiet",⭡,"#4481eb,#f5fafb"
海天一色,"sea and sky",⭡,"#a3bded,#6991c7"
晶盐如山,"salt mountain",⭩,"#fffeff,#d7fffe"
蔚蓝天空,"blue sky",⭡,"#9890e3,#b1f4cf"
蓝色狂想曲,"blue rhapsody",⭡,"#88d3ce,#6e45e2"
宁静的海滩,"quiet beach",⭢,"#4facfe,#00f2fe"
进入梦乡,"entering dreamland",⭡,"#30cfd0,#330867"
艾利儿织梦曲,"ariel dreamweaver",⊙,"#57C9FF,#57FCE3,#5CFFC7"
快乐渔夫,"happy fisher",⭨,"#89f7fe,#66a6ff"
特别的天空,"special sky",⭨,"#e0c3fc,#8ec5fc"
优美的蓝调,"beautiful blues",⭡,"#00c6fb,#005bea"
蓝色海平面,"blue sea level",⭣,"#5CFFB5,#5C94FF,#5433FF"
飞越高空,"flying higher",⭡,"#48c6ef,#6f86d6"
蓝色迷踪,"blue trace",⭦,"#577DFF,#384AFF,#263DAD"
河畔城池,"river city",⭡,"#4481eb,#04befe"
蓝色沉淀,"blue precipitate",⭢,"#4DE89E,#45B2C9,#300FBA"
蓝色多瑙河,"blue danube",⭡,"#209cff,#68e0cf"
深度减压,"deep decompression",⭦,"#5E87DB,#7AB2F7,#D6FFF5"
空间转移,"space shift",⭧,"#1C17ED,#307DE6,#47D4D4,#63FF66"
月光宝石,"moonlight gem",⭢,"#243949,#517fa4"
蓝色海岸,"blue coast",⭢,"#0acffe,#495aff"
水上舞蹈,"aqua dance",⭡,"#007adf,#00ecbc"
午夜绽放,"midnight bloom",⭡,"#2b5876,#4e4376"
天际线,"aircraft skyline",⭨,"#5EABFF,#B0EBFF,#70D4FF"
幽蓝深海,"dark blue ocean",⭢,"#6a11cb,#2575fc"
新奇绿洲,"fresh oasis",⭨,"#7de2fc,#b9b6e5"
寒冷入夜,"cold evening",⭡,"#113477,#9eb1d8"
格调之美,"beauty of style",⭨,"#cbbacc,#2580b3"
碧蓝明净,"clear blue",⭨,"#66FFE3,#3BA3FF,#4754FF"
蓝色葡萄酒,"blue wine",⭣,"#2af598,#009efd"
绿波荡漾,"green waves",⭡,"#13547a,#80d0c7"
极目天海,"marginal line of the sea",⭦,"#87FFA8,#59A3FF,#6BFFDB"
心灵慰藉,"mental comfort",⭨,"#66FFED,#75FFD1,#9CFFB0"
蓝色光束,"blue light beam",⭦,"#59FF9E,#3896B8,#261FB2"
遥远的河流,"faraway river",⭦,"#6e45e2,#88d3ce"
静夜之空,"night sky",⭡,"#1e3c72,#2a5298"
祝福生命,"blessings of life",⭡,"#fddb92,#d1fdff"
酸涩柠檬,"sour lemon",⭡,"#96fbc4,#f9f586"
柔软的青草,"soft grass",⭣,"#deecdd,#c1dfc4"
荒漠流沙,"desert quicksand",⭢,"#c1c161,#d4d4b1"
青草微尘,"dusty grass",⭢,"#cbdf7c,#98ce9a"
生命之源,"the source of life",⭧,"#96deda,#50c9c3"
清晨空气,"morning air",⭨,"#b7f8db,#50a7c2"
春色满园,"spring garden",⭢,"#43e97b,#38f9d7"
美好的季节,"beautiful season",⭡,"#0ba360,#3cba92"
春日绿柳,"willow green spring",⊚,"#4eac72,#6eabb4"
白日渐逝,"evanescent sun",⭧,"#abecd6,#fbed96"
春回大地,"the return of spring",⭢,"#92fe9d,#00c9ff"
清凉如水,"cool water",⭢,"#74ebd5,#9face6"
