hex,name,romaji
#DC9FB4,抚子,nadeshiko
#E16B8C,红梅,kohbai
#8E354A,苏芳,suoh
#F8C3CD,退红,taikoh
#F4A7B9,一斥染,ikkonzome
#64363C,桑染,kuwazome
#F596AA,桃,momo
#B5495B,苺,ichigo
#E87A90,薄红,usubeni
#D05A6E,今様,imayoh
#DB4D6D,中红,nakabeni
#FEDFE1,樱,sakura
#9E7A7A,梅鼠,umenezumi
#D0104C,韩红花,karakurenai
#9F353A,燕脂,enji
#CB1B45,红,kurenai
#EEA9A9,鸨,toki
#BF6766,长春,cyohsyun
#86473F,深绯,kokiake
#B19693,樱鼠,sakuranezumi
#EB7A77,甚三红,jinzamomi
#954A45,小豆,azuki
#A96360,苏芳香,suohkoh
#CB4042,赤红,akabeni
#AB3B3A,真朱,shinsyu
#D7C4BB,灰樱,haizakura
#904840,栗梅,kuriume
#734338,海老茶,ebicha
#C73E3A,银朱,ginsyu
#554236,黒鸢,kurotobi
#994639,红鸢,benitobi
#F19483,曙,akebono
#B54434,红桦,benikaba
#B9887D,水がき,mizugaki
#F17C67,珊瑚朱,sangosyu
#884C3A,红桧皮,benihiwada
#E83015,猩猩绯,syojyohi
#D75455,铅丹,entan
#B55D4C,芝翫茶,shikancha
#854836,桧皮,hiwada
#A35E47,柿涩,kakishibu
#CC543A,绯,ake
#724832,鸢,tobi
#F75C2F,红绯,benihi
#6A4028,栗皮茶,kurikawacha
#9A5034,弁柄,bengara
#C46243,照柿,terigaki
#AF5F3C,江戸茶,edocha
#FB966E,洗朱,araisyu
#724938,百塩茶,momoshiocha
#B47157,唐茶,karacha
#DB8E71,鸨唐茶,tokigaracha
#F05E1C,黄丹,ohni
#ED784A,𫄸,sohi
#CA7853,远州茶,ensyucha
#B35C37,桦茶,kabacha
#563F2E,焦茶,kogecha
#E3916E,赤香,akakoh
#8F5A3C,雀茶,suzumecha
#F0A986,宍,shishi
#A0674B,宗伝唐茶,sodenkaracha
#C1693C,桦,kaba
#FB9966,深支子,kokikuchinashi
#947A6D,胡桃,kurumi
#A36336,代赭,taisya
#E79460,洗柿,araigaki
#7D532C,黄栌染,kohrozen
#C78550,赤朽叶,akakuchiba
#985F2A,砺茶,tonocha
#E1A679,赤白橡,akashirotsurubami
#855B32,煎茶,sencha
#FC9F4D,萱草,kanzo
#FFBA84,洒落柿,sharegaki
#E98B2A,红郁金,beniukon
#E9A368,梅染,umezome
#B17844,枇杷茶,biwacha
#96632E,丁子茶,chojicha
#43341B,宪法染,kenpohzome
#CA7A2C,琥珀,kohaku
#ECB88A,薄柿,usugaki
#78552B,伽罗,kyara
#B07736,丁子染,chojizome
#967249,柴染,fushizome
#E2943B,朽叶,kuchiba
#C7802D,金茶,kincha
#9B6E23,狐,kitsune
#6E552F,煤竹,susutake
#EBB471,薄香,usukoh
#D7B98E,砥粉,tonoko
#82663A,银煤竹,ginsusutake
#B68E55,黄土,ohdo
#BC9F77,白茶,shiracha
#876633,媚茶,kobicha
#C18A26,黄唐茶,kigaracha
#FFB11B,山吹,yamabuki
#D19826,山吹茶,yamabukicha
#DDA52D,栌染,hajizome
#C99833,桑茶,kuwacha
#F9BF45,玉子,tamago
#DCB879,白橡,shirotsurubami
#BA9132,黄橡,kitsurubami
#E8B647,玉蜀黍,tamamorokoshi
#F7C242,花叶,hanaba
#7D6C46,生壁,namakabe
#DAC9A6,鸟の子,torinoko
#FAD689,浅黄,usuki
#D9AB42,黄朽叶,kikuchiba
#F6C555,栀子,kuchinashi
