hex,name,pinyin
#5C2223,暗玉紫,anyuzi
#EEA2A4,牡丹粉红,mudanfenhong
#5A191B,栗紫,lizi
#F07C82,香叶红,xiangyehong
#5A1216,葡萄酱紫,putaojiangzi
#ED5A65,艳红,yanhong
#C04851,玉红,yuhong
#EE3F4D,茶花红,chahuahong
#C02C38,高粱红,gaolianghong
#A7535A,满江红,manjianghong
#E3B4B8,鼠鼻红,shubihong
#F0A1A8,合欢红,hehuanhong
#F1939C,春梅红,chunmeihong
#A61B29,苋菜红,xiancaihong
#894E54,烟红,yanhong
#C45A65,莓红,meihong
#D11A2D,鹅冠红,eguanhong
#C21F30,枫叶红,fengyehong
#DE1C31,唐菖蒲红,tangchangpuhong
#7C1823,枣红,zaohong
#541E24,猪肝紫,zhuganzi
#4C1F24,葡萄紫,putaozi
#82202B,暗紫苑红,anziyuanhong
#82111F,殷红,yanhong
#EF475D,草茉莉红,caomolihong
#4D1018,酱紫,jiangzi
#ED556A,山茶红,shanchahong
#7A7374,锌灰,xinhui
#F03752,海棠红,haitanghong
#E6D2D5,蓟粉红,jifenhong
#F0C9CF,石蕊红,shiruihong
#EE2746,淡曙红,danshuhong
#2B1216,李紫,lizi
#EE4863,石竹红,shizhuhong
#E77C8E,淡茜红,danqianhong
#500A16,金鱼紫,jinyuzi
#C27C88,山黎豆红,shanlidouhong
#73575C,鼠背灰,shubeihui
#EE4866,淡蕊香红,danruixianghong
#621624,甘蔗紫,ganzhezi
#CE5777,月季红,yuejihong
#CC163A,尖晶玉红,jianjingyuhong
#F1C4CD,水红,shuihong
#EEB8C3,姜红,jianghong
#856D72,芦灰,luhui
#2D0C13,茄皮紫,jiapizi
#2D0C13,吊钟花红,diaozhonghuahong
#36282B,苍蝇灰,cangyinghui
#BF3553,锦葵红,jinkuihong
#EC9BAD,粉团花红,fentuanhuahong
#63071C,石竹紫,shizhuzi
#30161C,卵石紫,luanshizi
#EEA6B7,晶红,jinghong
#EBA0B3,芍药耕红,shaoyaogenghong
#4F383E,暮云灰,muyunhui
#ED9DB2,豇豆红,jiangdouhong
#EC8AA4,报春红,baochunhong
#EC7696,淡绛红,danjianghong
#EA7293,凤仙花红,fengxianhuahong
#EF82A0,霞光红,xiaguanghong
#EC2C64,喜蛋红,xidanhong
#EB507E,夹竹桃红,jiazhutaohong
#EB3C70,松叶牡丹红,songyemudanhong
#EA517F,莲瓣红,lianbanhong
#DE7897,白芨红,baijihong
#B598A1,隐红灰,yinhonghui
#ED2F6A,榲桲舡,wenpochuan
#C5708B,酢酱草红,cujiangcaohong
#33141E,火鹅紫,huoezi
#621D34,鹞冠紫,yaoguanzi
#EF3473,品红,pinhong
#382129,磨石紫,moshizi
#310F1B,墨紫,mozi
#381924,檀紫,tanzi
#E16C96,初荷红,chuhehong
#951C48,菜头紫,caitouzi
#62102E,葡萄酒红,putaojiuhong
#E0C8D1,淡青紫,danqingzi
#D13C74,菠根红,bogenhong
#4B1E2F,海象紫,haixiangzi
#EC4E8A,兔眼红,tuyanhong
#DE3F7C,嫩菱红,nenlinghong
#A8456B,洋葱紫,yangcongzi
#461629,绀紫,ganzi
#EE2C79,紫荆红,zijinghong
#EF498B,扁豆花红,biandouhuahong
#EDE3E7,马鞭草紫,mabiancaozi
#EC2D7A,藏花红,canghuahong
#482936,斑鸠灰,banjiuhui
#440E25,古铜紫,gutongzi
#D2568C,丹紫红,danzihong
#E9D7DF,丁香淡紫,dingxiangdanzi
#D2357D,玫瑰红,meiguihong
#36292F,古鼎灰,gudinghui
#D276A3,菱锰红,lingmenghong
#C06F98,樱草紫,yingcaozi
#CC5595,龙须红,longxuhong
#C35691,电气石红,dianqishihong
#BA2F7B,玫瑰紫,meiguizi
#9B1E64,苋菜紫,xiancaizi
#5D3F51,紫灰,zihui
#4E2A40,龙睛鱼紫,longjingyuzi
#BC84A8,青蛤壳紫,qinghakezi
#C08EAF,萝兰紫,luolanzi
#411C35,荸荠紫,biqizi
#AD6598,豆蔻紫,doukouzi
#A35C8F,扁豆紫,biandouzi
#681752,牵牛紫,qianniuzi
#894276,芓紫,zizi
#7E2065,葛巾紫,gejinzi
#8B2671,青莲,qinglian
#983680,芥花紫,jiehuazi
#C8ADC4,凤信紫,fengxinzi
#1C0D1A,深牵牛紫,shenqianniuzi
#7E1671,魏紫,weizi
#7E1671,芝兰紫,zhilanzi
#1E131D,鸟梅紫,niaomeizi
#813C85,桔梗紫,jiegengzi
#D1C2D3,淡牵牛紫,danqianniuzi
#3E3841,剑锋紫,jianfengzi
#815C94,蕈紫,xunzi
#806D9E,槿紫,jinzi
#E2E1E4,芡食白,qianshibai
#322F3B,龙葵紫,longkuizi
#8076A3,藤萝紫,tengluozi
#35333C,沙鱼灰,shayuhui
#22202E,暗龙胆紫,anlongdanzi
#131124,暗蓝紫,anlanzi
#302F4B,野葡萄紫,yeputaozi
#525288,野菊紫,yejuzi
#2F2F35,水牛灰,shuiniuhui
#CCCCD6,远山紫,yuanshanzi
#74759B,螺甸紫,luodianzi
#1F2040,晶石紫,jingshizi
#2E317C,满天星紫,mantianxingzi
#A7A8BD,淡蓝紫,danlanzi
#61649F,山梗紫,shangengzi
#2D2E36,牛角灰,niujiaohui
#5E616D,鱼尾灰,yuweihui
#47484C,瓦罐灰,waguanhui
#0F1423,钢蓝,ganglan
#131824,燕颔蓝,yanhanlan
#475164,鲸鱼灰,jingyuhui
#2B333E,青灰,qinghui
