code,response status                ,zh-cn
1xx ,Informational                  ,信息
100 ,Continue                       ,继续
101 ,Switching Protocols            ,交换协议
102 ,Processing                     ,处理
103 ,Early Hints                    ,早期提示
2xx ,Successful                     ,成功
200 ,OK                             ,成功
201 ,Created                        ,新建
202 ,Accepted                       ,接受
203 ,Non-Authoritative Information  ,非可靠信息
204 ,No Content                     ,无内容
205 ,Reset Content                  ,重置内容
206 ,Partial Content                ,部分内容
207 ,Multi-Status                   ,多状态
208 ,Already Reported               ,已列举
226 ,IM Used                        ,实例操作已应用
3xx ,Redirection                    ,重定向
300 ,Multiple Choices               ,多项供选择
301 ,Moved Permanently              ,永久移动
302 ,Found                          ,临时移动
303 ,See Other                      ,另见
304 ,Not Modified                   ,未修改
305 ,Use Proxy                      ,使用代理
306 ,Switch Proxy                   ,切换代理
307 ,Temporary Redirect             ,临时重定向
308 ,Permanent Redirect             ,永久重定向
4xx ,Client Error                   ,客户端错误
400 ,Bad Request                    ,错误的请求
401 ,Unauthorized                   ,未经授权
402 ,Payment Required               ,要求付款
403 ,Forbidden                      ,禁止
404 ,Not Found                      ,未发现
405 ,Method Not Allowed             ,方法不允许
406 ,Not Acceptable                 ,不可接受
407 ,Proxy Authentication Required  ,要求代理验证
408 ,Request Timeout                ,请求超时
409 ,Conflict                       ,冲突
410 ,Gone                           ,已清除
411 ,Length Required                ,要求长度
412 ,Precondition Failed            ,前提未满足
413 ,Payload Too Large              ,超负荷
414 ,URI Too Long                   ,统一资源标志符过长
415 ,Unsupported Media Type         ,不支持的媒体类型
416 ,Range Not Satisfiable          ,范围不支持
417 ,Expectation Failed             ,预期失败
418 ,I'm a teapot                   ,我是一个茶壶
421 ,Misdirected Request            ,误导的请求
422 ,Unprocessable Entity           ,语法错误
423 ,Locked                         ,被锁定
424 ,Failed Dependency              ,依附错误
425 ,Too Early                      ,太早了
426 ,Upgrade Required               ,要求升级
428 ,Precondition Required          ,要求前提
429 ,Too Many Requests              ,请求太多了
430 ,Would Block                    ,将屏蔽
431 ,Request Header Fields Too Large,请求头字段过大
451 ,Unavailable For Legal Reasons  ,法律原因不可用
5xx ,Server Error                   ,服务端错误
500 ,Internal Server Error          ,服务内部错误
501 ,Not Implemented                ,未实现
502 ,Bad Gateway                    ,错误的网关
503 ,Service Unavailable            ,服务不可用
504 ,Gateway Timeout                ,网关超时
505 ,HTTP Version Not Supported     ,超文本传送协议版本不支持
506 ,Variant Also Negotiates        ,还协商变体
507 ,Insufficient Storage           ,空间不足
508 ,Loop Detected                  ,循环检测
510 ,Not Extended                   ,未扩展
511 ,Network Authentication Required,要求网络验证
