tag         , url                                                             , name                                  , annot
pdm         , https://creativecommons.org/publicdomain/mark/1.0               , Public Domain Mark                    , 公有领域标识
cc 0        , https://creativecommons.org/publicdomain/zero/1.0               , Creative Commons Zero                 , 公有领域
cc by       , https://creativecommons.org/licenses/by/4.0                     ,                                       , 归因
oga by      , https://opengameart.org/content/oga-by-30-faq                   ,                                       ,
by-sa       , https://creativecommons.org/licenses/by-sa/4.0                  ,                                       , 归因-相同方式共享
by-nc       , https://creativecommons.org/licenses/by-nc/4.0                  ,                                       , 归因-非商用
cc by-nc-sa , https://creativecommons.org/licenses/by-nc-sa/4.0               ,                                       , 归因-非商用-相同方式共享
cc by-nd    , https://creativecommons.org/licenses/by-nd/4.0                  ,                                       , 归因-禁止衍生
cc by-nc-nd , https://creativecommons.org/licenses/by-nc-nd/4.0               ,                                       , 归因-非商用-禁止衍生
mit         , https://choosealicense.com/licenses/mit                         , Massachusetts Institute of Technology ,
lil         , https://www.lillicense.org/v1.html                              , Lil License                           ,
mpl         , https://choosealicense.com/licenses/mpl-2.0                     , Mozilla Public License                , Mozilla公共许可
ofl         , http://scripts.sil.org/cms/scripts/page.php?site_id=nrsi&id=OFL , Open Font License                     , 开放字体许可
            , https://www.1001fonts.com/licenses/ffc.html                     ,                                       ,
doujin      , https://commonsphere.jp/doujin-license-1                        , 同人マーク・ライセンス                  , 同人标识许可
wtfpl       , http://www.wtfpl.net/about                                      ,                                       , 随便你许可
no license  , https://choosealicense.com/no-permission                        , No License                            , 未许可
