year,album,track,title,filename,artist,lyricist,composer,compilation,director(producer)
2018,…3mm,01,重口味,01. 重口味,陈奕迅,黄伟文,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,02,非礼,02. 非礼,陈奕迅,小克,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,03,Class,03. Class,陈奕迅,林宝,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,04,碌卡,04. 碌卡,陈奕迅,陈咏谦,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,05,笑死朕,05. 笑死朕,陈奕迅,陈咏谦,陈哲庐,,"郭伟亮,陈哲庐"
2018,…3mm,06,蚊,06. 蚊,陈奕迅,林若宁,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,07,Let It Out,07. Let It Out,陈奕迅,林若宁、郭伟亮,郭伟亮,,"郭伟亮,陈哲庐"
2018,…3mm,08,习惯说,08. 习惯说,陈奕迅,陈咏谦,"郭伟亮,陈奕迅",,"郭伟亮,陈哲庐"
2018,…3mm,09,信任,09. 信任,陈奕迅,小克,"郭伟亮,陈哲庐",,"郭伟亮,陈哲庐"
2018,…3mm,10,完,10. 完,陈奕迅,林宝,郭伟亮,,"郭伟亮,陈哲庐"
2013,The Key,08,同舟之情 (with 张学友),01. 同舟之情 (with 张学友),陈奕迅,"陈咏谦,黄沾","郭伟亮,顾嘉辉",张子坚,郭伟亮
2013,The Key,01,主旋律,01. 主旋律,陈奕迅,小克,"江志仁,姜丽文",C.Y. in London,江志仁
2013,The Key,02,告别娑婆,02. 告别娑婆,陈奕迅,小克,"江志仁,Jean Chien",江志仁,江志仁
2013,The Key,03,斯德哥尔摩情人,03. 斯德哥尔摩情人,陈奕迅,林夕,江志仁,江志仁,梁荣骏
2013,The Key,04,任我行,04. 任我行,陈奕迅,林夕,泽日生,唐奕聪,梁荣骏
2013,The Key,05,远在咫尺,05. 远在咫尺,陈奕迅,林若宁,郭伟亮,林知秋,郭伟亮
2013,The Key,06,失忆蝴蝶,06. 失忆蝴蝶,陈奕迅,林夕,陈晓娟,"江志仁,唐奕聪",江志仁
2013,The Key,07,阿猫阿狗,07. 阿猫阿狗,陈奕迅,林夕,Jimmy Fung,Jimmy Fung,梁荣骏
2013,The Key,07,床头床尾,07. 床头床尾,陈奕迅,小克,陈奕迅,江志仁,江志仁
2011,?,01,孤独患者,01. 孤独患者,陈奕迅,小寒,方大同,,
2011,?,02,哎呀咿呀,02. 哎呀咿呀,陈奕迅,小克,周国贤,,
2011,?,03,看穿,03. 看穿,陈奕迅,蓝又时,蓝又时,,
2011,?,04,吟游诗人,04. 吟游诗人,陈奕迅,曾纪诺,黄丹仪,,
2011,?,05,张氏情歌,05. 张氏情歌,陈奕迅,小克,周国贤,,
2011,?,06,Baby Song,06. Baby Song,陈奕迅,岑宁儿,岑宁儿,,
2011,?,07,听一千遍后,07. 听一千遍后,陈奕迅,姚谦,刘诺生,,
2011,?,08,内疚,08. 内疚,陈奕迅,"陈奂仁,陈奕迅","陈奂仁,何秉舜",,
2011,?,09,还要不要走,09. 还要不要走,陈奕迅,曲世聪,曲世聪,,
2011,?,10,积木,10. 积木,陈奕迅,姚若龙,陈小霞,,
2011,?,11,神奇化妆师,11. 神奇化妆师,陈奕迅,林夕,蓝又时,,
2011,?,12,Muffin Man,12. Muffin Man,陈奕迅,黄伟文,符致逸,,
2010,Time flies,01,无人之境,01. 无人之境,陈奕迅,黄伟文,郭伟亮,郭伟亮,郭伟亮
2010,Time flies,02,大人,02. 大人,陈奕迅,陈咏谦,郭伟亮,郭伟亮,郭伟亮
2010,Time flies,03,一丝不挂,03. 一丝不挂,陈奕迅,林夕,泽日生,陈珀,梁荣骏
2010,Time flies,04,陀飞轮,04. 陀飞轮,陈奕迅,黄伟文,Vincent Chow,唐奕聪,梁荣骏
2010,Time flies,05,心腹,05. 心腹,陈奕迅,黄伟文,郭伟亮,郭伟亮,郭伟亮
2010,Time flies,06,味之素,06. 味之素,陈奕迅,黄伟文,陈羽恒,C.Y. Kong,梁荣骏
2010,上五楼的快活,01,在你身边,01. 在你身边,陈奕迅,陈少琪,张亚东,张瑞成,"张亚东,陈少琪"
2009,上五楼的快活,02,这样一个麻烦,02. 这样一个麻烦,陈奕迅,吴青峰,吴青峰,"李守信,金木义则,梁介洋,黄冠豪,石博元",林𬀩哲
2009,上五楼的快活,03,多少,03. 多少,陈奕迅,蔡健雅,蔡健雅,"李守信,金木义则,梁介洋,黄冠豪,石博元",林𬀩哲
2009,上五楼的快活,04,Nothing Ever Happened,04. Nothing Ever Happened,陈奕迅,林嘉欣,林𬀩哲,"林𬀩哲,李守信,金木义则,石博元",林𬀩哲
2009,上五楼的快活,05,你为什么哭了呢,05. 你为什么哭了呢,陈奕迅,王小苗,范晓萱,"李守信,金木义则,梁介洋,黄冠豪,石博元",林𬀩哲
