on,en,cn,src,cpt,ver,num,rsrc
チェンソーマン,Chainsaw Man,电锯人,chainsaw.man.s01e01.1080p.web.h264-senpai[eztv.re].mkv[eztv.re],op,,,https://steamcommunity.com/sharedfiles/filedetails/?id=2874691145
ID:INVADED,,异度侵入ID:INVADED,[SweetSub&LoliHouse] ID INVADED - 02 [WebRip 1080p HEVC-10bit AAC ASSx2].mkv,op,,,https://steamcommunity.com/sharedfiles/filedetails/?id=2014417360
咲-Saki-阿知賀編 episode of side-A,Saki Achiga-hen episode of Side-A,天才麻将少女：阿知贺篇,[Moozzi2] 咲-Saki- 天才麻将少女 阿知賀編 Saki - Achiga-hen - Episode of Side-A (BD 1920x1080 x264 Flac),ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1288960901
キルミーベイベー,Kill Me Baby,爱杀宝贝,[VCB-Studio] Kill Me Baby [Ma10p_1080p],ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=1865825262
けいおん!,K-ON!,轻音少女,[Moozzi2] K-ON! S1 - TV + SP-e,op,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1865592710
,,,,op,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1865594579
けいおん!!,K-ON!!,,[Moozzi2] K-ON!! S2 - TV + SP - EXTRA,ed,nc,01,https://steamcommunity.com/sharedfiles/filedetails/?id=1865598834
,,,,ed,nc,02,https://steamcommunity.com/sharedfiles/filedetails/?id=1865631052
ブギーポップは笑わない Boogiepop Phantom,Boogiepop wa Warawanai,不吉波普不笑,[2019][Boogiepop wa Warawanai][BDRIP][1080P][1-18Fin+SP],op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2023094551
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2023098074
刻刻,Kokkoku: Moment by Moment,刻刻,[VCB-Studio] Kokkoku [Ma10p_1080p],op,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2014453612
,,,,ed,nc,,https://steamcommunity.com/sharedfiles/filedetails/?id=2014456212
